PIK3CB,"['phosphatidylinositol 3-kinase signaling', 'phosphatidylinositol-3-phosphate biosynthetic process', 'axon guidance', 'phosphatidylinositol phosphorylation', 'activation of MAPK activity', 'autophagy', 'platelet aggregation', 'positive regulation of autophagy', 'vascular endothelial growth factor receptor signaling pathway', 'regulation of cell-matrix adhesion', 'phosphatidylinositol-mediated signaling', 'positive regulation of gene expression', 'regulation of clathrin-dependent endocytosis', 'positive regulation of protein kinase B signaling', 'embryonic cleavage', 'Fc-epsilon receptor signaling pathway', 'homophilic cell adhesion via plasma membrane adhesion molecules', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'chemotaxis', 'cytokine-mediated signaling pathway', 'cell migration', 'platelet activation', 'T cell receptor signaling pathway', 'angiogenesis involved in wound healing', 'positive regulation of neutrophil apoptotic process', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'cellular calcium ion homeostasis', 'endothelial cell proliferation', 'leukocyte migration']"
CHKA,"['response to 3-methylcholanthrene', 'ethanolamine metabolic process', 'phosphatidylcholine biosynthetic process', 'response to toxic substance', 'lipid transport', 'phosphatidylethanolamine biosynthetic process', 'CDP-choline pathway', 'lipid metabolic process', 'choline metabolic process']"
CKMT2,"['muscle contraction', 'creatine metabolic process']"
EPHB3,"['regulation of cell-cell adhesion', 'roof of mouth development', 'axon guidance', 'central nervous system projection neuron axonogenesis', 'axonal fasciculation', 'thymus development', 'negative regulation of signal transduction', 'angiogenesis', 'regulation of axonogenesis', 'substrate adhesion-dependent cell spreading', 'positive regulation of synapse assembly', 'cell migration', 'retinal ganglion cell axon guidance', 'digestive tract morphogenesis', 'dendritic spine development', 'corpus callosum development', 'dendritic spine morphogenesis', 'urogenital system development', 'negative regulation of apoptotic process', 'regulation of GTPase activity', 'ephrin receptor signaling pathway', 'positive regulation of ERK1 and ERK2 cascade', 'cell differentiation']"
MAPK1,"['response to epidermal growth factor', 'response to estrogen', 'regulation of phosphatidylinositol 3-kinase signaling', 'cellular response to amino acid starvation', 'axon guidance', 'regulation of DNA-binding transcription factor activity', 'regulation of Golgi inheritance', 'activation of MAPK activity', 'positive regulation of transcription, DNA-templated', 'caveolin-mediated endocytosis', 'intracellular signal transduction', 'stress-activated MAPK cascade', 'chemical synaptic transmission', 'cellular response to DNA damage stimulus', 'cellular response to granulocyte macrophage colony-stimulating factor stimulus', 'regulation of cytoskeleton organization', 'sensory perception of pain', 'cellular response to reactive oxygen species', 'regulation of early endosome to late endosome transport', 'cytosine metabolic process', 'Bergmann glial cell differentiation', 'regulation of cellular response to heat', 'positive regulation of telomere capping', 'positive regulation of cell proliferation', 'Fc-epsilon receptor signaling pathway', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'thymus development', 'lung morphogenesis', 'MAPK cascade', 'chemotaxis', 'cellular response to organic substance', 'cellular response to cadmium ion', 'mammary gland epithelial cell proliferation', 'regulation of cellular pH', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'ERBB signaling pathway', 'response to nicotine', 'thyroid gland development', 'positive regulation of peptidyl-threonine phosphorylation', 'trachea formation', 'positive regulation of translation', 'fibroblast growth factor receptor signaling pathway', 'face development', 'learning or memory', 'apoptotic process', 'long-term synaptic potentiation', 'neutrophil degranulation', 'positive regulation of telomerase activity', 'labyrinthine layer blood vessel development', 'positive regulation of gene expression', 'regulation of stress-activated MAPK cascade', 'regulation of gene expression', 'lipopolysaccharide-mediated signaling pathway', 'positive regulation of cell migration', 'positive regulation of protein import into nucleus, translocation', 'outer ear morphogenesis', 'negative regulation of cell differentiation', 'response to exogenous dsRNA', 'viral process', 'cellular response to tumor necrosis factor', 'diadenosine tetraphosphate biosynthetic process', 'platelet activation', 'cellular response to dopamine', 'transcription, DNA-templated', 'cardiac neural crest cell development involved in heart development', 'ERK1 and ERK2 cascade', 'regulation of protein stability', 'positive regulation of telomere maintenance via telomerase', 'regulation of ossification']"
MAP3K10,"['positive regulation of JUN kinase activity', 'activation of JNKK activity', 'smoothened signaling pathway', 'activation of JUN kinase activity', 'JNK cascade', 'negative regulation of DNA-binding transcription factor activity', 'MAPK cascade', 'negative regulation of transcription, DNA-templated', 'positive regulation of JNK cascade', 'apoptotic process', 'positive regulation of apoptotic process']"
PIK3CA,"['phosphatidylinositol 3-kinase signaling', 'epidermal growth factor receptor signaling pathway', 'phosphatidylinositol-3-phosphate biosynthetic process', 'axon guidance', 'phosphatidylinositol phosphorylation', 'endothelial cell migration', 'glucose metabolic process', 'cardiac muscle contraction', 'cellular response to glucose stimulus', 'vasculature development', 'energy homeostasis', 'positive regulation of TOR signaling', 'positive regulation of peptidyl-serine phosphorylation', 'insulin receptor signaling pathway via phosphatidylinositol 3-kinase', 'anoikis', 'vascular endothelial growth factor receptor signaling pathway', 'phosphatidylinositol-mediated signaling', 'regulation of gene expression', 'negative regulation of macroautophagy', 'positive regulation of protein kinase B signaling', 'regulation of multicellular organism growth', 'Fc-epsilon receptor signaling pathway', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'negative regulation of neuron apoptotic process', 'protein kinase B signaling', 'negative regulation of anoikis', 'angiogenesis', 'liver development', 'cytokine-mediated signaling pathway', 'regulation of genetic imprinting', 'platelet activation', 'ERBB2 signaling pathway', 'cell migration', 'T cell receptor signaling pathway', 'negative regulation of fibroblast apoptotic process', 'T cell costimulation', 'regulation of cellular respiration', 'hypomethylation of CpG island', 'adipose tissue development', 'leukocyte migration']"
TAOK1,"['DNA repair', 'mitotic G2 DNA damage checkpoint', 'regulation of microtubule cytoskeleton organization', 'activation of JUN kinase activity', 'positive regulation of protein acetylation', 'execution phase of apoptosis', 'signal transduction by protein phosphorylation', 'activation of MAPK activity', 'activation of MAPKK activity', 'stress-activated protein kinase signaling cascade', 'negative regulation of microtubule depolymerization', 'microtubule cytoskeleton organization', 'cellular response to DNA damage stimulus', 'neuron cellular homeostasis', 'regulation of actin cytoskeleton organization', 'positive regulation of JNK cascade', 'regulation of cytoskeleton organization', 'positive regulation of stress-activated MAPK cascade']"
ITK,"['Fc-epsilon receptor signaling pathway', 'T cell activation', 'adaptive immune response', 'activation of phospholipase C activity', 'cellular defense response', 'interferon-gamma production', 'NK T cell differentiation', 'cytokine production', 'intracellular signal transduction', 'T cell receptor signaling pathway', 'interleukin-4 production', 'B cell receptor signaling pathway']"
PDPK1,"['epidermal growth factor receptor signaling pathway', 'positive regulation of angiogenesis', 'regulation of mast cell degranulation', 'negative regulation of endothelial cell apoptotic process', 'calcium-mediated signaling', 'focal adhesion assembly', 'intracellular signal transduction', 'hyperosmotic response', 'cellular response to epidermal growth factor stimulus', 'cellular response to brain-derived neurotrophic factor stimulus', 'negative regulation of cardiac muscle cell apoptotic process', 'positive regulation of vascular endothelial cell proliferation', 'Fc-epsilon receptor signaling pathway', 'extrinsic apoptotic signaling pathway', 'regulation of I-kappaB kinase/NF-kappaB signaling', 'negative regulation of protein kinase activity', 'stimulatory C-type lectin receptor signaling pathway', 'negative regulation of neuron apoptotic process', 'cellular response to insulin stimulus', 'positive regulation of phospholipase activity', 'cell migration', 'platelet activation', 'activation of protein kinase B activity', 'T cell receptor signaling pathway', 'T cell costimulation', 'transcription, DNA-templated', 'negative regulation of toll-like receptor signaling pathway', 'positive regulation of protein localization to plasma membrane', 'positive regulation of sprouting angiogenesis', 'regulation of transcription, DNA-templated', 'positive regulation of release of sequestered calcium ion into cytosol', 'positive regulation of blood vessel endothelial cell migration', 'type B pancreatic cell development', 'actin cytoskeleton organization', 'negative regulation of transforming growth factor beta receptor signaling pathway']"
GRK2,"['viral entry into host cell', 'negative regulation of striated muscle contraction', 'cardiac muscle contraction', 'tachykinin receptor signaling pathway', 'heart development', 'negative regulation of the force of heart contraction by chemical signal', 'positive regulation of catecholamine secretion', 'viral genome replication', 'receptor internalization']"
PAK2,"['regulation of MAPK cascade', 'positive regulation of protein tyrosine kinase activity', 'negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis', 'Fc-epsilon receptor signaling pathway', 'negative regulation of protein kinase activity', 'signal transduction by protein phosphorylation', 'stimulatory C-type lectin receptor signaling pathway', 'regulation of defense response to virus by virus', 'apoptotic process', 'positive regulation of peptidyl-tyrosine phosphorylation', 'T cell receptor signaling pathway', 'T cell costimulation', 'stress-activated protein kinase signaling cascade', 'regulation of growth', 'dendritic spine development', 'vascular endothelial growth factor receptor signaling pathway', 'negative regulation of apoptotic process', 'positive regulation of extrinsic apoptotic signaling pathway', 'cellular response to organic cyclic compound', 'interleukin-12-mediated signaling pathway']"
CHKB,"['phosphatidylethanolamine biosynthetic process', 'CDP-choline pathway', 'phosphatidylcholine biosynthetic process']"
MAP2K4,"['cellular response to sorbitol', 'positive regulation of smooth muscle cell apoptotic process', 'response to wounding', 'activation of JUN kinase activity', 'JNK cascade', 'positive regulation of DNA replication', 'signal transduction by protein phosphorylation', 'positive regulation of neuron apoptotic process', 'activation of MAPK activity', 'apoptotic process', 'negative regulation of motor neuron apoptotic process', 'stress-activated protein kinase signaling cascade', 'cell growth involved in cardiac muscle cell development', 'cellular response to mechanical stimulus', 'positive regulation of nitric-oxide synthase biosynthetic process']"
GUCY2D,"['cGMP biosynthetic process', 'receptor guanylyl cyclase signaling pathway', 'visual perception', 'regulation of rhodopsin mediated signaling pathway', 'intracellular signal transduction']"
IKBKB,"['regulation of establishment of endothelial barrier', 'I-kappaB phosphorylation', 'Fc-epsilon receptor signaling pathway', 'positive regulation of I-kappaB kinase/NF-kappaB signaling', 'negative regulation of bicellular tight junction assembly', 'response to virus', 'positive regulation of transcription by RNA polymerase II', 'positive regulation of NF-kappaB transcription factor activity', 'stimulatory C-type lectin receptor signaling pathway', 'cortical actin cytoskeleton organization', 'antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent', 'inflammatory response', 'MyD88-independent toll-like receptor signaling pathway', 'positive regulation of transcription, DNA-templated', 'viral process', 'cellular response to tumor necrosis factor', 'T cell receptor signaling pathway', 'stress-activated MAPK cascade', 'I-kappaB kinase/NF-kappaB signaling', 'regulation of phosphorylation', 'tumor necrosis factor-mediated signaling pathway', 'negative regulation of myosin-light-chain-phosphatase activity', 'negative regulation of apoptotic process', 'innate immune response', 'regulation of tumor necrosis factor-mediated signaling pathway', 'interleukin-1-mediated signaling pathway', 'TRIF-dependent toll-like receptor signaling pathway', 'protein localization to plasma membrane']"
ACVR2A,"['mesoderm development', 'anterior/posterior pattern specification', 'transforming growth factor beta receptor signaling pathway', 'transmembrane receptor protein serine/threonine kinase signaling pathway', 'positive regulation of erythrocyte differentiation', 'activin receptor signaling pathway', 'cellular response to BMP stimulus', 'gastrulation with mouth forming second', 'BMP signaling pathway', 'positive regulation of activin receptor signaling pathway', 'regulation of nitric-oxide synthase activity', 'positive regulation of bone mineralization', 'pattern specification process', 'penile erection', 'positive regulation of pathway-restricted SMAD protein phosphorylation', 'sperm ejaculation', 'positive regulation of osteoblast differentiation', 'positive regulation of transcription by RNA polymerase II', 'Sertoli cell proliferation', 'spermatogenesis', 'embryonic skeletal system development', 'determination of left/right symmetry', 'positive regulation of protein phosphorylation', 'regulation of BMP signaling pathway']"
FGFR4,"['positive regulation of cell proliferation', 'phosphatidylinositol-3-phosphate biosynthetic process', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol phosphorylation', 'positive regulation of proteolysis', 'cholesterol homeostasis', 'MAPK cascade', 'negative regulation of signal transduction', 'angiogenesis', 'regulation of extracellular matrix disassembly', 'cell migration', 'positive regulation of DNA biosynthetic process', 'phosphate ion homeostasis', 'positive regulation of catalytic activity', 'positive regulation of gene expression', 'negative regulation of apoptotic process', 'glucose homeostasis', 'positive regulation of ERK1 and ERK2 cascade', 'cell differentiation', 'regulation of lipid metabolic process', 'regulation of bile acid biosynthetic process', 'positive regulation of protein kinase B signaling']"
STK39,"['negative regulation of potassium ion transmembrane transport', 'positive regulation of potassium ion transport', 'signal transduction by protein phosphorylation', 'negative regulation of creatine transmembrane transporter activity', 'signal transduction by trans-phosphorylation', 'activation of MAPK activity', 'cellular hypotonic response', 'negative regulation of sodium ion transmembrane transporter activity', 'intracellular signal transduction', 'stress-activated protein kinase signaling cascade', 'negative regulation of pancreatic juice secretion', 'negative regulation of potassium ion transmembrane transporter activity', 'regulation of blood pressure', 'negative regulation of protein phosphorylation', 'maintenance of lens transparency', 'regulation of inflammatory response', 'ion homeostasis', 'positive regulation of ion transmembrane transporter activity']"
DSTYK,"['cellular response to fibroblast growth factor stimulus', 'positive regulation of fibroblast growth factor receptor signaling pathway', 'negative regulation of apoptotic process', 'positive regulation of ERK1 and ERK2 cascade', 'positive regulation of kinase activity']"
PI4KA,"['multi-organism membrane organization', 'viral RNA genome replication', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol biosynthetic process', 'viral replication complex formation and maintenance', 'phosphatidylinositol-mediated signaling']"
MYLK3,"['positive regulation of sarcomere organization', 'sarcomere organization', 'sarcomerogenesis', 'regulation of vascular permeability involved in acute inflammatory response', 'cellular response to interleukin-1', 'cardiac myofibril assembly']"
MASTL,"['female meiosis II', 'positive regulation of ubiquitin protein ligase activity', 'cellular response to DNA damage stimulus', 'mitotic cell cycle', 'cell division', 'negative regulation of phosphoprotein phosphatase activity', 'G2/M transition of mitotic cell cycle', 'regulation of cell cycle', 'intracellular signal transduction']"
TAOK3,"['DNA repair', 'mitotic G2 DNA damage checkpoint', 'positive regulation of JUN kinase activity', 'stress-activated protein kinase signaling cascade', 'cellular response to DNA damage stimulus', 'negative regulation of JNK cascade', 'negative regulation of protein kinase activity', 'signal transduction by protein phosphorylation', 'MAPK cascade', 'activation of MAPKK activity', 'positive regulation of JNK cascade', 'positive regulation of stress-activated MAPK cascade']"
TEC,"['Fc-epsilon receptor signaling pathway', 'adaptive immune response', 'tissue regeneration', 'integrin-mediated signaling pathway', 'cytokine-mediated signaling pathway', 'regulation of platelet activation', 'intracellular signal transduction', 'positive regulation of peptidyl-tyrosine phosphorylation', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway']"
SMG1,"['regulation of response to DNA damage stimulus', 'phosphatidylinositol phosphorylation', 'mRNA export from nucleus', 'nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'regulation of telomere maintenance']"
