"","x"
"1",-0.898064836
"2",-0.759457527
"3",-0.64810462
"4",-0.483649768
"5",-0.295725678
"6",0.160953493
"7",0.385625792
"8",-0.87007888
"9",-0.657491639
"10",-0.238667279
"11",0.016679568
"12",0.292832355
"13",0.5092399
"14",-0.999183561
"15",-0.791593769
"16",0.266080602
"17",0.995938055
"18",0.999788109
"19",0.999985711
"20",-0.938155731
"21",0.439003579
"22",0.847563624
"23",0.960778274
"24",0.997949392
"25",-0.756809777
"26",-0.189109689
"27",0.635521092
"28",0.924874978
"29",0.988545222
"30",0.997992911
"31",0.999703739
"32",-0.734472829
"33",0.540179901
"34",0.915850609
"35",0.985251468
"36",0.997892925
"37",0.999645082
"38",0.999949651
"39",-0.519520013
"40",-0.042352086
"41",0.509024735
"42",0.806942573
"43",0.939098722
"44",0.979679213
"45",0.993993176
"46",-0.960045908
"47",-0.263288379
"48",0.485706622
"49",0.976089727
"50",0.995818558
"51",0.999154479
"52",0.999853545
"53",-0.192029186
"54",-0.115833701
"55",0.932246393
"56",0.999999998
"57",1
"58",-0.712400398
"59",-0.148590851
"60",0.201684584
"61",0.531793645
"62",0.738344497
"63",0.93404164
"64",0.969102358
"65",-0.599756825
"66",0.051601069
"67",0.385771631
"68",0.661828994
"69",0.818163471
"70",0.912200225
"71",-0.772072484
"72",-0.762483212
"73",-0.747763528
"74",-0.710428612
"75",-0.635260652
"76",-0.466787141
"77",-0.200615459
"78",0.185623881
"79",-0.707213529
"80",-0.557105482
"81",-0.337621321
"82",0.176895763
"83",-0.538714659
"84",0.229821921
"85",0.822094088
"86",0.994482171
"87",0.998990451
"88",0.99984338
"89",-0.860699942
"90",-0.85676685
"91",-0.847648447
"92",-0.815121788
"93",-0.724801173
"94",-0.459748895
"95",0.532894684
"96",-0.182971951
"97",0.227583158
"98",0.773331698
"99",0.887237661
"100",0.94938282
"101",-0.525274117
"102",0.011686601
"103",0.581058847
"104",0.986799127
"105",0.996402068
"106",-0.605324102
"107",0.150064264
"108",0.424406324
"109",0.622139016
"110",0.774042787
"111",-0.381652643
"112",0.114638761
"113",0.346870927
"114",0.55962192
"115",0.817561887
"116",-0.588423531
"117",-0.419813059
"118",0.858985062
"119",0.998833309
"120",0.999999898
