KinaseNames	FastGreedyCommunity	SpinGlassCommunity	WalkTrapCommunity	LeadingEigenvectorCommunity	LabelPropogationCommunity	MCODEcommunity
PAK1	3	6	21	1	1	1
ERBB2	3	2	3	2	1	1
RON	6	6	3	1	1	1
YES	6	6	15	1	1	1
TYRO3	6	6	11	1	1	1
LYN	2	6	3	2	1	1
KIT	3	2	3	1	1	1
KPCA	3	6	21	1	1	1
SRC	3	6	21	2	1	1
MATK	3	6	3	1	1	1
TEC	2	6	21	1	1	1
FGR	2	6	3	1	1	1
KSYK	2	6	21	1	1	1
FAK1	3	6	3	1	1	1
VGFR2	3	6	3	1	1	1
VGFR1	2	9	21	1	1	1
ATR	4	4	19	1	1	1
TYK2	2	9	21	1	1	1
KPCD	2	9	21	1	1	1
BTK	2	6	21	1	1	1
KPCT	2	9	7	1	1	1
PRKDC	4	4	14	1	1	1
FAK2	3	6	3	1	1	1
PK3CG	2	9	21	1	1	1
MK03	3	2	21	2	1	1
M4K1	1	6	21	1	1	1
PGFRB	3	2	3	2	1	1
PK3CA	2	9	21	1	1	1
K6PF	7	3	48	2	2	1
K6PL	7	3	48	1	2	1
PHKG1	4	4	52	1	1	0
PHKG2	4	4	53	1	1	1
PGFRA	3	2	3	2	1	1
E2AK2	2	9	21	3	1	1
M3K5	1	8	7	1	1	1
IKKB	2	9	40	1	1	1
MK01	3	2	21	2	1	1
MP2K1	2	2	21	2	1	1
ARAF	3	2	21	2	1	1
KS6A2	3	2	3	2	1	1
M3K4	1	8	7	5	1	1
KS6A4	3	2	3	5	1	1
TRIB1	1	8	29	5	1	0
KSR2	3	2	21	2	1	1
EPHA8	6	6	49	1	1	1
EPHA2	6	6	15	1	1	1
ABL1	3	6	3	2	1	1
ZAP70	2	6	21	1	1	1
KPCE	1	8	21	5	1	1
NTRK3	3	4	23	2	1	1
KS6A3	3	2	3	2	1	1
MK14	1	8	7	5	1	1
MP2K2	3	2	21	2	1	1
KS6A1	3	2	3	2	1	1
NEK2	4	4	43	2	1	1
DYR1B	1	8	7	5	1	1
MKNK2	1	8	7	5	1	1
MAPK5	1	8	7	5	1	1
