,0,1,2,3,4,5,6,7,8,9,10,11
mean_fit_time,38.75656383528429,39.21413948956658,39.75252243701149,37.683904858196485,38.46314636398764,38.57318270557067,39.61716475206263,39.849607933970056,38.09986114151337,37.46140941100962,38.22483142684488,37.699372691266674
std_fit_time,4.39927130938389,4.659205944846036,4.905393820482619,5.176911155926275,4.521280856669575,5.004601131521537,5.23265057750871,5.1176371169803145,5.147683921130254,4.8057187339193925,4.932816813603063,4.6827949253111925
mean_score_time,0.016333990237292123,0.016653853304245892,0.01736294522004969,0.017333854647243723,0.016912656671860638,0.01837293540730196,0.018192094915053424,0.01745265371659223,0.017676276319167194,0.017202061765334186,0.01746330191107357,0.017852355452144846
std_score_time,0.004626972904045355,0.004464863552151158,0.0034921723899978257,0.0029365564992015064,0.0036715474574776667,0.005900982082492464,0.003722616313522303,0.003251216043265319,0.00407733963414864,0.0036460009991727505,0.0033629024948996964,0.0032419866801487807
param_criterion,MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss(),MSELoss()
param_dropout,0.15,0.15,0.15,0.15,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4
param_hidden_activation,Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh()
param_hidden_size,100,100,100,100,100,100,100,100,100,100,100,100
param_in_dims,662,662,662,662,662,662,662,662,662,662,662,662
param_max_epochs,30,30,30,30,30,30,30,30,30,30,30,30
param_minibatch,32,32,32,32,32,32,32,32,32,32,32,32
param_num_workers,2,2,2,2,2,2,2,2,2,2,2,2
param_number_hidden,2,2,3,3,2,2,3,3,2,2,3,3
param_out_dims,1,1,1,1,1,1,1,1,1,1,1,1
param_output_activation,Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh(),Tanh()
param_tol,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
param_weight_decay,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001
params,"{'criterion': MSELoss(), 'dropout': 0.15, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 2, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.0001}","{'criterion': MSELoss(), 'dropout': 0.15, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 2, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.001}","{'criterion': MSELoss(), 'dropout': 0.15, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 3, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.0001}","{'criterion': MSELoss(), 'dropout': 0.15, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 3, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.001}","{'criterion': MSELoss(), 'dropout': 0.25, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 2, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.0001}","{'criterion': MSELoss(), 'dropout': 0.25, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 2, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.001}","{'criterion': MSELoss(), 'dropout': 0.25, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 3, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.0001}","{'criterion': MSELoss(), 'dropout': 0.25, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 3, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.001}","{'criterion': MSELoss(), 'dropout': 0.4, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 2, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.0001}","{'criterion': MSELoss(), 'dropout': 0.4, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 2, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.001}","{'criterion': MSELoss(), 'dropout': 0.4, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 3, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.0001}","{'criterion': MSELoss(), 'dropout': 0.4, 'hidden_activation': Tanh(), 'hidden_size': 100, 'in_dims': 662, 'max_epochs': 30, 'minibatch': 32, 'num_workers': 2, 'number_hidden': 3, 'out_dims': 1, 'output_activation': Tanh(), 'tol': 0.005, 'weight_decay': 0.001}"
split0_test_score,0.7846894860267639,0.8377019762992859,0.7720150351524353,0.8792597055435181,0.8274294137954712,0.8762391805648804,0.8306941390037537,0.8114347457885742,0.8774269819259644,0.7851288914680481,0.7013784050941467,0.8555386066436768
split1_test_score,0.2461002767086029,0.2623606324195862,0.20166945457458496,0.2527473568916321,0.25114333629608154,0.24037574231624603,0.289521187543869,0.21965903043746948,0.2574320435523987,0.22829467058181763,0.24598270654678345,0.2578747868537903
split2_test_score,0.24023468792438507,0.13119308650493622,0.23900040984153748,0.23818188905715942,0.296532541513443,0.21821317076683044,0.23206089437007904,0.20238986611366272,0.36076653003692627,0.17065799236297607,0.1968141496181488,0.1385316699743271
split3_test_score,0.6359360218048096,0.5096696615219116,0.7657275199890137,0.40240392088890076,0.5721338391304016,0.33501574397087097,0.5414974093437195,0.5414019823074341,0.5021763443946838,0.49346935749053955,0.6450592875480652,0.33073464035987854
split4_test_score,0.7471928000450134,0.3033525347709656,0.5420265197753906,0.501997709274292,0.6688327193260193,0.1944626122713089,0.14971575140953064,0.16628536581993103,0.5226665139198303,0.5932955145835876,0.34563612937927246,0.5999012589454651
split5_test_score,0.30589330196380615,0.2593408524990082,0.28159773349761963,0.26135286688804626,0.3460654020309448,0.2539759576320648,0.24103471636772156,0.21558275818824768,0.24932743608951569,0.2729966342449188,0.24334906041622162,0.2529207468032837
split6_test_score,0.23942935466766357,0.22350117564201355,0.21794047951698303,0.25428271293640137,0.266989529132843,0.21298086643218994,0.2083761841058731,0.2514464557170868,0.24184146523475647,0.2517581880092621,0.2771369516849518,0.2608615756034851
split7_test_score,0.20193223655223846,0.1843343824148178,0.18170508742332458,0.16632193326950073,0.18930703401565552,0.1725073605775833,0.1888894885778427,0.21325936913490295,0.1996769905090332,0.184756338596344,0.19784881174564362,0.1733635514974594
split8_test_score,0.7469435930252075,0.8403900265693665,0.8171967267990112,0.8276682496070862,0.8718254566192627,0.8151313662528992,0.9997357726097107,0.8843407034873962,0.9240196943283081,0.8489563465118408,0.9482168555259705,0.9443361759185791
split9_test_score,0.43960845470428467,0.3767680525779724,0.6712033152580261,0.6535775065422058,0.4686506390571594,0.3519483208656311,0.6066395044326782,0.3734849691390991,0.5817028880119324,0.619806170463562,0.46712061762809753,0.7906469702720642
split10_test_score,0.555131733417511,0.573137104511261,0.6540294289588928,0.7335792779922485,0.5961644649505615,0.6107527613639832,1.0004907846450806,0.805726170539856,0.6722425818443298,0.6907560229301453,0.8062255382537842,0.7672939896583557
split11_test_score,0.28327304124832153,0.23845428228378296,0.2653036415576935,0.17735502123832703,0.2423611581325531,0.24923671782016754,0.179623544216156,0.26273784041404724,0.2336888462305069,0.23068386316299438,0.277637779712677,0.18959029018878937
split12_test_score,0.2721896469593048,0.27192842960357666,0.26121610403060913,0.2721463441848755,0.3573675751686096,0.3460504114627838,0.33227089047431946,0.263492614030838,0.24974879622459412,0.25382956862449646,0.24558185040950775,0.2614798843860626
split13_test_score,0.11988677829504013,0.15508818626403809,0.0886814221739769,0.0759667456150055,0.14811959862709045,0.10247292369604111,0.14031220972537994,0.10845943540334702,0.10126253962516785,0.08780181407928467,0.0934150218963623,0.11231770366430283
split14_test_score,0.234211266040802,0.2963375449180603,0.230693981051445,0.24620790779590607,0.25430652499198914,0.21583692729473114,0.21464379131793976,0.20941993594169617,0.24298112094402313,0.2373378723859787,0.24944819509983063,0.26309987902641296
