names	cluster
PAK1	5
ERBB2	5
RON	5
YES	5
TYRO3	5
LYN	2
KIT	5
KPCA	5
SRC	5
MATK	5
TEC	5
FGR	5
KSYK	2
FAK1	5
VGFR2	5
VGFR1	2
ATR	4
TYK2	2
KPCD	2
BTK	2
KPCT	2
PRKDC	4
FAK2	5
PK3CG	2
MK03	7
M4K1	3
PGFRB	5
PK3CA	2
K6PF	8
K6PL	8
PHKG1	4
PHKG2	4
PGFRA	5
E2AK2	2
M3K5	3
IKKB	2
MK01	7
MP2K1	7
ARAF	7
KS6A2	7
M3K4	3
KS6A4	7
TRIB1	3
KSR2	7
EPHA8	5
EPHA2	5
ABL1	5
ZAP70	2
KPCE	7
NTRK3	7
KS6A3	7
MK14	3
MP2K2	7
KS6A1	7
NEK2	7
DYR1B	3
MKNK2	7
MAPK5	3
MKNK1	7
KPCZ	2
MYLK	5
GSK3A	2
KPCB	2
BMPR2	1
MK06	4
GSK3B	2
PDPK1	2
RIPK4	2
HXK2	5
PK3CB	2
KPCD1	5
AKT3	2
KPCG	5
MARK4	7
IRAK1	3
MP2K5	3
DAPK3	5
KPYM	4
MET	5
RET	5
MK08	3
MARK2	4
ITK	5
BMX	5
PKN1	3
MP2K6	3
MK12	3
OBSCN	5
TITIN	4
WEE1	4
CSK21	4
NTRK1	7
EPHB2	5
M4K5	5
PAK2	5
ATM	4
MOS	4
DDR2	5
KPCI	2
TXK	5
KAPCA	7
GUC2C	5
MK15	3
ERBB4	5
ERBB3	5
PTK6	5
TGFR2	1
TGFR1	1
AMHR2	1
ACVL1	1
BMR1B	1
MLTK	3
IKKA	2
M3K8	2
MP2K4	3
M3K14	2
BRSK1	4
STK11	4
SMG1	2
IRAK2	3
IRAK3	3
IRAK4	3
LCK	2
UFO	5
TOPK	4
M3K12	3
M3K11	3
MP2K7	3
M4K2	3
M3K10	3
JAK3	2
TIE1	5
TIE2	5
ARBK1	5
MAPK3	3
MP2K3	3
EF2K	4
STK39	1
MARK3	7
AAPK2	4
RYK	5
EPHB3	5
PLK4	7
EPHB6	5
EPHB1	5
M3K7	3
TRIO	5
BMR1A	1
LIMK1	5
MERTK	5
DAPK1	7
KCC2G	7
KGP2	5
M3K2	3
MK13	3
TAOK2	3
AVR2B	1
ACV1B	1
ROCK1	5
LIMK2	5
MRCKA	5
PAK4	4
LATS1	4
MK09	3
MK10	3
M3K3	3
TIF1A	4
TIF1B	4
PLK1	4
PMYT1	4
CHK2	4
