names	cluster
MST1R	9
YES1	9
TYRO3	9
FGR	10
SRC	9
ATR	3
FLT1	10
LYN	10
PRKCD	2
SYK	10
MAP4K1	14
PDGFRB	1
PIK3CA	10
PHKG1	16
PHKG2	12
PDGFRA	1
EIF2AK2	14
ARAF	2
MAP2K1	10
RPS6KA4	13
KSR2	7
ABL1	3
ZAP70	10
PTK2B	10
MAP2K2	10
MAPK1	2
RPS6KA1	13
DYRK1B	4
PRKCA	2
MYLK	6
BMPR2	5
PRKCB	2
MAPK6	4
GSK3B	2
PDPK1	10
HK2	15
PRKCE	2
PIK3CB	10
MARK4	3
PRKCG	2
IRAK1	14
PRKCZ	10
MAP2K5	2
DAPK3	9
PKM	17
MARK2	12
BTK	10
PRKCQ	14
OBSCN	3
TTN	3
MOS	10
DDR2	1
MATK	10
TXK	10
EPHB2	8
PRKACA	16
GUCY2C	9
MAPK15	4
AMHR2	5
TGFBR1	5
ACVRL1	5
BMPR1B	5
MAP3K20	14
TGFBR2	5
CHUK	14
MAP3K8	14
MAP2K4	14
KDR	9
NTRK1	1
NTRK3	1
MAPK3	2
BRSK1	12
WEE1	3
RPS6KA3	13
STK11	12
PRKCI	10
MAP3K11	14
MAP2K7	14
IKBKB	14
PTK2	9
MAP3K10	4
MAP2K6	4
MAPK14	4
MAP2K3	4
MAPKAPK5	4
MAP3K12	4
MARK3	7
STK39	11
RYK	8
EPHB3	8
PLK4	3
TEC	10
TRIO	9
BMPR1A	5
MAPK8	14
PRKDC	3
ATM	3
CAMK2G	6
PKN1	4
MAP3K7	14
MAP3K2	14
MAPK12	4
MAPK13	4
CDC42BPA	1
LIMK1	4
LATS1	3
MAPK9	14
MAPK10	14
RPS6KA2	13
TRIM24	7
TRIM28	12
MKNK1	2
LIMK2	9
RPS6KA5	13
RPS6KB1	2
STRADA	12
ILK	2
BUB1B	3
MAP3K4	4
MAP3K3	14
MAP3K5	14
ERN1	14
MAPK7	2
SGK1	2
PKN2	10
