names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	4
SRC	4
ATR	5
FLT1	6
LYN	4
PRKCD	4
SYK	7
MAP4K1	8
PDGFRB	9
PIK3CA	4
PHKG1	10
PHKG2	11
PDGFRA	12
EIF2AK2	4
ARAF	4
MAP2K1	13
RPS6KA4	14
KSR2	15
ABL1	4
ZAP70	4
PTK2B	16
MAP2K2	4
MAPK1	4
RPS6KA1	17
DYRK1B	18
PRKCA	19
MYLK	20
BMPR2	21
PRKCB	4
MAPK6	4
GSK3B	4
PDPK1	4
HK2	22
PRKCE	23
PIK3CB	24
MARK4	25
PRKCG	26
IRAK1	27
PRKCZ	28
MAP2K5	29
DAPK3	30
PKM	4
MARK2	31
BTK	4
PRKCQ	32
OBSCN	33
TTN	4
MOS	34
DDR2	35
MATK	36
TXK	37
EPHB2	38
PRKACA	4
GUCY2C	19
MAPK15	39
AMHR2	40
TGFBR1	4
ACVRL1	41
BMPR1B	42
MAP3K20	4
TGFBR2	4
CHUK	4
MAP3K8	43
MAP2K4	44
KDR	45
NTRK1	46
NTRK3	47
MAPK3	4
BRSK1	48
WEE1	49
RPS6KA3	50
STK11	51
PRKCI	52
MAP3K11	53
MAP2K7	54
IKBKB	4
PTK2	4
MAP3K10	4
MAP2K6	4
MAPK14	4
MAP2K3	4
MAPKAPK5	4
MAP3K12	4
MARK3	4
STK39	4
RYK	4
EPHB3	4
PLK4	4
TEC	4
TRIO	4
BMPR1A	4
MAPK8	4
PRKDC	4
ATM	4
CAMK2G	4
PKN1	4
MAP3K7	4
MAP3K2	4
MAPK12	4
MAPK13	4
CDC42BPA	4
LIMK1	4
LATS1	4
MAPK9	4
MAPK10	4
RPS6KA2	4
TRIM24	4
TRIM28	4
MKNK1	4
LIMK2	4
RPS6KA5	4
RPS6KB1	4
STRADA	4
ILK	4
BUB1B	4
MAP3K4	4
MAP3K3	4
MAP3K5	4
ERN1	4
MAPK7	4
SGK1	4
PKN2	4
OXSR1	4
PAK1	4
MAP3K14	4
MAPK11	4
NEK6	4
CAMKK1	4
PDK2	4
CHEK1	4
TLK1	4
EIF2AK3	4
RIPK1	4
CHEK2	4
SGK2	4
SGK3	4
RPS6KB2	4
PRKCH	4
PRKD1	4
CASK	4
CSNK2A2	4
MAST2	4
STK36	4
CDK9	4
TLK2	4
BRSK2	4
AKT1	4
GRK2	4
STRADB	4
PLK1	4
ACVR1	4
NEK8	4
NUAK2	4
AURKB	4
CDK4	4
STK35	4
CDK6	4
CDKL1	4
CSNK1A1	4
DAPK2	4
EIF2AK4	4
IGF1R	4
ITK	4
MYO3A	4
TSSK4	4
RAF1	4
STK3	4
STK4	4
LATS2	4
EGFR	4
FGFR1	4
FLT4	4
BRD2	4
NME1	4
NME4	4
CLK2	4
CLK3	4
KALRN	4
EPHA4	4
FGFR2	4
FGFR3	4
FYN	4
