names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	4
SRC	5
ATR	6
FLT1	7
LYN	8
PRKCD	2
SYK	9
MAP4K1	10
PDGFRB	11
PIK3CA	12
PHKG1	13
PHKG2	2
PDGFRA	14
EIF2AK2	15
ARAF	16
MAP2K1	17
RPS6KA4	18
KSR2	19
ABL1	20
ZAP70	21
PTK2B	22
MAP2K2	23
MAPK1	24
RPS6KA1	25
DYRK1B	26
PRKCA	5
MYLK	27
BMPR2	28
PRKCB	29
MAPK6	30
GSK3B	31
PDPK1	32
HK2	33
PRKCE	34
PIK3CB	35
MARK4	36
PRKCG	37
IRAK1	38
PRKCZ	39
MAP2K5	40
DAPK3	41
PKM	42
MARK2	43
BTK	44
PRKCQ	45
OBSCN	46
TTN	46
MOS	47
DDR2	48
MATK	49
TXK	50
EPHB2	51
PRKACA	51
GUCY2C	5
MAPK15	52
AMHR2	53
TGFBR1	54
ACVRL1	55
BMPR1B	56
MAP3K20	57
TGFBR2	58
CHUK	59
MAP3K8	60
MAP2K4	61
KDR	62
NTRK1	63
NTRK3	64
MAPK3	65
BRSK1	66
WEE1	46
RPS6KA3	67
STK11	68
PRKCI	69
MAP3K11	70
MAP2K7	71
IKBKB	72
PTK2	73
MAP3K10	74
MAP2K6	75
MAPK14	76
MAP2K3	77
MAPKAPK5	78
MAP3K12	79
MARK3	80
STK39	81
RYK	82
EPHB3	83
PLK4	51
TEC	84
TRIO	85
BMPR1A	2
MAPK8	2
PRKDC	2
ATM	6
CAMK2G	86
PKN1	87
MAP3K7	88
MAP3K2	89
MAPK12	90
MAPK13	91
CDC42BPA	92
LIMK1	93
LATS1	94
MAPK9	2
MAPK10	95
RPS6KA2	96
TRIM24	97
TRIM28	98
MKNK1	2
LIMK2	99
RPS6KA5	100
RPS6KB1	101
STRADA	102
ILK	103
BUB1B	104
MAP3K4	105
MAP3K3	106
MAP3K5	107
ERN1	108
MAPK7	109
SGK1	110
PKN2	111
OXSR1	112
PAK1	9
MAP3K14	113
MAPK11	114
NEK6	115
CAMKK1	116
PDK2	117
CHEK1	9
TLK1	118
EIF2AK3	119
RIPK1	120
CHEK2	68
SGK2	121
SGK3	122
RPS6KB2	123
PRKCH	124
PRKD1	125
CASK	126
CSNK2A2	127
MAST2	128
STK36	129
CDK9	130
TLK2	131
BRSK2	132
AKT1	133
GRK2	9
STRADB	134
PLK1	51
ACVR1	135
NEK8	136
NUAK2	137
AURKB	138
CDK4	139
STK35	140
CDK6	141
CDKL1	142
CSNK1A1	143
DAPK2	144
EIF2AK4	145
IGF1R	146
ITK	147
MYO3A	148
TSSK4	149
RAF1	150
STK3	151
STK4	72
LATS2	77
EGFR	72
FGFR1	9
FLT4	152
BRD2	153
NME1	154
NME4	155
CLK2	156
CLK3	157
KALRN	158
EPHA4	159
FGFR2	160
FGFR3	161
FYN	2
