names	cluster
MST1R	2
YES1	2
TYRO3	2
FGR	2
SRC	2
ATR	6
FLT1	2
LYN	2
PRKCD	4
SYK	2
MAP4K1	5
PDGFRB	2
PIK3CA	2
PHKG1	6
PHKG2	6
PDGFRA	2
EIF2AK2	5
ARAF	4
MAP2K1	2
RPS6KA4	4
KSR2	2
ABL1	6
ZAP70	2
PTK2B	2
MAP2K2	2
MAPK1	4
RPS6KA1	4
DYRK1B	5
PRKCA	4
MYLK	4
BMPR2	7
PRKCB	4
MAPK6	5
GSK3B	4
PDPK1	2
HK2	1
PRKCE	4
PIK3CB	2
MARK4	6
PRKCG	4
IRAK1	5
PRKCZ	2
MAP2K5	4
DAPK3	2
PKM	6
MARK2	6
BTK	2
PRKCQ	5
OBSCN	6
TTN	6
MOS	2
DDR2	2
MATK	2
TXK	2
EPHB2	8
PRKACA	6
GUCY2C	2
MAPK15	5
AMHR2	7
TGFBR1	7
ACVRL1	7
BMPR1B	7
MAP3K20	5
TGFBR2	7
CHUK	5
MAP3K8	5
MAP2K4	5
KDR	2
NTRK1	2
NTRK3	2
MAPK3	4
BRSK1	6
WEE1	6
RPS6KA3	4
STK11	6
PRKCI	2
MAP3K11	5
MAP2K7	5
IKBKB	5
PTK2	2
MAP3K10	5
MAP2K6	5
MAPK14	5
MAP2K3	5
MAPKAPK5	5
MAP3K12	5
MARK3	2
STK39	7
RYK	8
EPHB3	8
PLK4	6
TEC	2
TRIO	2
BMPR1A	7
MAPK8	5
PRKDC	6
ATM	6
CAMK2G	4
PKN1	5
MAP3K7	5
MAP3K2	5
MAPK12	5
MAPK13	5
CDC42BPA	2
LIMK1	5
LATS1	6
MAPK9	5
MAPK10	5
RPS6KA2	4
TRIM24	2
TRIM28	6
MKNK1	4
LIMK2	2
RPS6KA5	4
RPS6KB1	4
STRADA	6
ILK	4
BUB1B	6
MAP3K4	5
MAP3K3	5
MAP3K5	5
ERN1	5
MAPK7	4
SGK1	4
PKN2	2
OXSR1	7
PAK1	5
MAP3K14	5
MAPK11	5
NEK6	6
CAMKK1	6
PDK2	4
CHEK1	6
TLK1	6
EIF2AK3	5
RIPK1	5
CHEK2	6
SGK2	4
SGK3	4
RPS6KB2	4
PRKCH	4
PRKD1	4
CASK	6
CSNK2A2	6
MAST2	6
STK36	6
CDK9	6
TLK2	6
BRSK2	6
AKT1	4
GRK2	1
STRADB	6
PLK1	6
ACVR1	7
NEK8	6
NUAK2	6
AURKB	6
CDK4	6
STK35	7
CDK6	6
CDKL1	7
CSNK1A1	6
DAPK2	4
EIF2AK4	4
IGF1R	4
ITK	2
MYO3A	7
TSSK4	7
RAF1	4
STK3	6
STK4	6
LATS2	6
EGFR	2
FGFR1	2
FLT4	2
BRD2	6
NME1	6
NME4	6
CLK2	6
CLK3	6
KALRN	5
EPHA4	8
FGFR2	4
FGFR3	4
FYN	2
MET	2
ERBB4	2
EPHA2	8
KIT	2
HCK	2
INSR	4
JAK2	2
JAK1	2
LCK	2
WNK1	7
PIK3CG	2
TYK2	2
PAK4	5
PAK2	5
FES	5
JAK3	2
RIPK2	5
PIP5K1B	2
PIP4K2B	2
PIP5K1A	2
PIP5K1C	2
PIP4K2A	2
PIP4K2C	2
ROCK1	2
TBK1	5
ACVR2A	7
EEF2K	6
DAPK1	4
SGK196	7
CDC7	6
CDK5	6
ERBB3	2
CAMK2B	4
CAMK2D	4
WNK4	5
CSK	2
KSR1	2
PIK3C2A	2
ERBB2	2
NEK11	6
NEK2	6
PDK1	2
CAMK2A	4
CSF1R	2
EPHA8	8
ABL2	2
MERTK	6
TNK2	2
GSK3A	4
FER	2
HIPK3	2
AKT2	2
PAK3	5
PRKAA1	6
DMPK	4
PBK	4
IKBKE	5
ROCK2	2
LRRK1	6
STK24	6
STK25	6
PASK	6
STK16	6
TTBK1	6
TTBK2	6
NEK7	6
SNRK	6
CSNK2A1	6
LMTK2	6
CDK2	6
MAP3K1	5
PIK3CD	2
PAK6	5
PI4KA	2
ACVR1B	7
EPHA3	8
BRD4	6
TAOK3	5
CDKL5	2
PFKL	6
MYLK2	5
TRIB3	2
AATK	7
EPHB4	8
BMX	2
PIM1	2
KHK	1
PDXK	6
MELK	6
SLK	2
ROR1	5
VRK1	6
VRK3	4
