names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	2
SRC	2
ATR	4
FLT1	2
LYN	2
PRKCD	2
SYK	2
MAP4K1	2
PDGFRB	2
PIK3CA	2
PHKG1	5
PHKG2	5
PDGFRA	2
EIF2AK2	2
ARAF	2
MAP2K1	2
RPS6KA4	6
KSR2	2
ABL1	2
ZAP70	2
PTK2B	2
MAP2K2	2
MAPK1	2
RPS6KA1	6
DYRK1B	7
PRKCA	2
MYLK	8
BMPR2	9
PRKCB	2
MAPK6	10
GSK3B	2
PDPK1	2
HK2	11
PRKCE	2
PIK3CB	2
MARK4	12
PRKCG	2
IRAK1	2
PRKCZ	2
MAP2K5	2
DAPK3	13
PKM	2
MARK2	14
BTK	2
PRKCQ	2
OBSCN	15
TTN	16
MOS	4
DDR2	17
MATK	2
TXK	18
EPHB2	19
PRKACA	16
GUCY2C	20
MAPK15	2
AMHR2	9
TGFBR1	9
ACVRL1	9
BMPR1B	9
MAP3K20	6
TGFBR2	9
CHUK	2
MAP3K8	2
MAP2K4	2
KDR	2
NTRK1	2
NTRK3	2
MAPK3	2
BRSK1	21
WEE1	4
RPS6KA3	6
STK11	13
PRKCI	2
MAP3K11	2
MAP2K7	2
IKBKB	2
PTK2	2
MAP3K10	22
MAP2K6	2
MAPK14	2
MAP2K3	2
MAPKAPK5	2
MAP3K12	2
MARK3	23
STK39	24
RYK	19
EPHB3	19
PLK4	25
TEC	18
TRIO	26
BMPR1A	9
MAPK8	2
PRKDC	4
ATM	4
CAMK2G	27
PKN1	28
MAP3K7	2
MAP3K2	2
MAPK12	2
MAPK13	2
CDC42BPA	29
LIMK1	2
LATS1	30
MAPK9	2
MAPK10	2
RPS6KA2	6
TRIM24	31
TRIM28	32
MKNK1	2
LIMK2	2
RPS6KA5	6
RPS6KB1	2
STRADA	13
ILK	2
BUB1B	4
MAP3K4	2
MAP3K3	2
MAP3K5	2
ERN1	2
MAPK7	2
SGK1	2
PKN2	28
OXSR1	33
PAK1	2
MAP3K14	2
MAPK11	2
NEK6	34
CAMKK1	27
PDK2	35
CHEK1	4
TLK1	36
EIF2AK3	2
RIPK1	2
CHEK2	4
SGK2	2
SGK3	2
RPS6KB2	2
PRKCH	2
PRKD1	37
CASK	38
CSNK2A2	39
MAST2	40
STK36	41
CDK9	42
TLK2	43
BRSK2	44
AKT1	2
GRK2	45
STRADB	13
PLK1	4
ACVR1	9
NEK8	46
NUAK2	47
AURKB	48
CDK4	2
STK35	49
CDK6	2
CDKL1	50
CSNK1A1	25
DAPK2	27
EIF2AK4	2
IGF1R	2
ITK	18
MYO3A	51
TSSK4	52
RAF1	2
STK3	30
STK4	2
LATS2	30
EGFR	2
FGFR1	2
FLT4	2
BRD2	53
NME1	54
NME4	54
CLK2	55
CLK3	56
KALRN	57
EPHA4	19
FGFR2	2
FGFR3	2
FYN	2
