names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	4
SRC	5
ATR	6
FLT1	4
LYN	4
PRKCD	4
SYK	4
MAP4K1	7
PDGFRB	8
PIK3CA	4
PHKG1	9
PHKG2	9
PDGFRA	8
EIF2AK2	10
ARAF	8
MAP2K1	8
RPS6KA4	11
KSR2	8
ABL1	5
ZAP70	7
PTK2B	5
MAP2K2	8
MAPK1	8
RPS6KA1	11
DYRK1B	12
PRKCA	8
MYLK	5
BMPR2	13
PRKCB	8
MAPK6	14
GSK3B	4
PDPK1	4
HK2	15
PRKCE	8
PIK3CB	4
MARK4	16
PRKCG	8
IRAK1	7
PRKCZ	4
MAP2K5	8
DAPK3	17
PKM	18
MARK2	19
BTK	4
PRKCQ	7
OBSCN	20
TTN	21
MOS	22
DDR2	23
MATK	8
TXK	4
EPHB2	5
PRKACA	21
GUCY2C	24
MAPK15	7
AMHR2	13
TGFBR1	13
ACVRL1	13
BMPR1B	13
MAP3K20	7
TGFBR2	13
CHUK	4
MAP3K8	0
MAP2K4	7
KDR	5
NTRK1	8
NTRK3	8
MAPK3	8
BRSK1	25
WEE1	6
RPS6KA3	11
STK11	26
PRKCI	4
MAP3K11	7
MAP2K7	7
IKBKB	4
PTK2	5
MAP3K10	27
MAP2K6	7
MAPK14	7
MAP2K3	7
MAPKAPK5	7
MAP3K12	7
MARK3	28
STK39	29
RYK	5
EPHB3	5
PLK4	30
TEC	4
TRIO	31
BMPR1A	13
MAPK8	7
PRKDC	6
ATM	6
CAMK2G	32
PKN1	7
MAP3K7	7
MAP3K2	7
MAPK12	7
MAPK13	7
CDC42BPA	33
LIMK1	5
LATS1	34
MAPK9	7
MAPK10	7
RPS6KA2	11
TRIM24	35
TRIM28	36
MKNK1	8
LIMK2	5
RPS6KA5	11
RPS6KB1	4
STRADA	26
ILK	4
BUB1B	6
MAP3K4	7
MAP3K3	7
MAP3K5	7
ERN1	7
MAPK7	8
SGK1	4
PKN2	7
OXSR1	37
PAK1	5
MAP3K14	4
MAPK11	7
NEK6	38
CAMKK1	39
PDK2	40
CHEK1	6
TLK1	41
EIF2AK3	4
RIPK1	7
CHEK2	6
SGK2	4
SGK3	4
RPS6KB2	4
PRKCH	8
PRKD1	42
CASK	43
CSNK2A2	44
MAST2	45
STK36	46
CDK9	6
TLK2	47
BRSK2	48
AKT1	4
GRK2	49
STRADB	26
PLK1	6
ACVR1	13
NEK8	50
NUAK2	51
AURKB	52
CDK4	6
STK35	53
CDK6	6
CDKL1	54
CSNK1A1	21
DAPK2	55
EIF2AK4	4
IGF1R	8
ITK	4
MYO3A	56
TSSK4	57
RAF1	8
STK3	34
STK4	58
LATS2	34
EGFR	8
FGFR1	8
FLT4	4
BRD2	59
NME1	60
NME4	60
CLK2	61
CLK3	62
KALRN	63
EPHA4	5
FGFR2	8
FGFR3	8
FYN	5
