names	cluster
MST1R	1
YES1	60
TYRO3	2
FGR	60
SRC	60
ATR	31
FLT1	60
LYN	60
PRKCD	102
SYK	60
MAP4K1	98
PDGFRB	60
PIK3CA	60
PHKG1	102
PHKG2	102
PDGFRA	60
EIF2AK2	112
ARAF	102
MAP2K1	102
RPS6KA4	102
KSR2	102
ABL1	60
ZAP70	60
PTK2B	60
MAP2K2	102
MAPK1	102
RPS6KA1	102
DYRK1B	3
PRKCA	102
MYLK	41
BMPR2	10
PRKCB	102
MAPK6	98
GSK3B	112
PDPK1	112
HK2	112
PRKCE	102
PIK3CB	60
MARK4	4
PRKCG	102
IRAK1	98
PRKCZ	112
MAP2K5	102
DAPK3	60
PKM	31
MARK2	5
BTK	60
PRKCQ	102
OBSCN	6
TTN	102
MOS	102
DDR2	7
MATK	102
TXK	60
EPHB2	126
PRKACA	102
GUCY2C	8
MAPK15	98
AMHR2	10
TGFBR1	112
ACVRL1	10
BMPR1B	10
MAP3K20	98
TGFBR2	112
CHUK	112
MAP3K8	112
MAP2K4	98
KDR	60
NTRK1	60
NTRK3	60
MAPK3	102
BRSK1	9
WEE1	31
RPS6KA3	102
STK11	112
PRKCI	60
MAP3K11	98
MAP2K7	98
IKBKB	112
PTK2	60
MAP3K10	11
MAP2K6	98
MAPK14	98
MAP2K3	98
MAPKAPK5	98
MAP3K12	98
MARK3	12
STK39	13
RYK	126
EPHB3	126
PLK4	31
TEC	60
TRIO	14
BMPR1A	10
MAPK8	98
PRKDC	31
ATM	31
CAMK2G	41
PKN1	98
MAP3K7	98
MAP3K2	98
MAPK12	98
MAPK13	98
CDC42BPA	15
LIMK1	126
LATS1	31
MAPK9	98
MAPK10	98
RPS6KA2	102
TRIM24	16
TRIM28	17
MKNK1	102
LIMK2	126
RPS6KA5	102
RPS6KB1	112
STRADA	112
ILK	112
BUB1B	31
MAP3K4	98
MAP3K3	98
MAP3K5	98
ERN1	98
MAPK7	102
SGK1	112
PKN2	98
OXSR1	18
PAK1	126
MAP3K14	112
MAPK11	98
NEK6	19
CAMKK1	112
PDK2	20
CHEK1	31
TLK1	21
EIF2AK3	112
RIPK1	112
CHEK2	31
SGK2	112
SGK3	112
RPS6KB2	112
PRKCH	102
PRKD1	102
CASK	22
CSNK2A2	31
MAST2	23
STK36	24
CDK9	31
TLK2	25
BRSK2	26
AKT1	112
GRK2	71
STRADB	112
PLK1	31
ACVR1	10
NEK8	27
NUAK2	28
AURKB	29
CDK4	31
STK35	30
CDK6	31
CDKL1	32
CSNK1A1	102
DAPK2	112
EIF2AK4	112
IGF1R	102
ITK	60
MYO3A	33
TSSK4	34
RAF1	102
STK3	31
STK4	112
LATS2	31
EGFR	102
FGFR1	102
FLT4	60
BRD2	35
NME1	187
NME4	187
CLK2	36
CLK3	37
KALRN	38
EPHA4	126
FGFR2	102
FGFR3	102
FYN	60
MET	60
ERBB4	60
EPHA2	126
KIT	60
HCK	60
INSR	112
JAK2	60
JAK1	60
LCK	60
WNK1	39
PIK3CG	60
TYK2	60
PAK4	126
PAK2	126
FES	126
JAK3	60
RIPK2	98
PIP5K1B	60
PIP4K2B	60
PIP5K1A	60
PIP5K1C	60
PIP4K2A	60
PIP4K2C	60
ROCK1	60
TBK1	112
ACVR2A	10
EEF2K	112
DAPK1	102
SGK196	40
CDC7	31
CDK5	126
ERBB3	60
CAMK2B	41
CAMK2D	41
WNK4	42
CSK	60
KSR1	102
PIK3C2A	60
ERBB2	102
NEK11	43
NEK2	44
PDK1	112
CAMK2A	41
CSF1R	60
EPHA8	126
ABL2	60
MERTK	45
TNK2	46
GSK3A	112
FER	60
HIPK3	47
AKT2	112
PAK3	126
PRKAA1	112
DMPK	48
PBK	49
IKBKE	112
ROCK2	60
LRRK1	50
STK24	51
STK25	52
PASK	53
STK16	54
TTBK1	55
TTBK2	56
NEK7	57
SNRK	58
CSNK2A1	31
LMTK2	59
CDK2	31
MAP3K1	98
PIK3CD	60
PAK6	126
PI4KA	60
ACVR1B	10
EPHA3	126
BRD4	61
TAOK3	98
CDKL5	62
PFKL	31
MYLK2	126
TRIB3	112
AATK	63
