names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	4
SRC	5
ATR	6
FLT1	7
LYN	8
PRKCD	9
SYK	10
MAP4K1	11
PDGFRB	12
PIK3CA	13
PHKG1	14
PHKG2	15
PDGFRA	16
EIF2AK2	17
ARAF	18
MAP2K1	19
RPS6KA4	20
KSR2	21
ABL1	22
ZAP70	23
PTK2B	24
MAP2K2	25
MAPK1	16
RPS6KA1	26
DYRK1B	27
PRKCA	28
MYLK	29
BMPR2	21
PRKCB	30
MAPK6	31
GSK3B	32
PDPK1	33
HK2	34
PRKCE	35
PIK3CB	21
MARK4	36
PRKCG	37
IRAK1	21
PRKCZ	38
MAP2K5	39
DAPK3	40
PKM	41
MARK2	42
BTK	43
PRKCQ	44
OBSCN	45
TTN	46
MOS	47
DDR2	48
MATK	49
TXK	50
EPHB2	51
PRKACA	52
GUCY2C	53
MAPK15	54
AMHR2	55
TGFBR1	56
ACVRL1	57
BMPR1B	58
MAP3K20	59
TGFBR2	60
CHUK	61
MAP3K8	62
MAP2K4	63
KDR	64
NTRK1	65
NTRK3	66
MAPK3	21
BRSK1	67
WEE1	68
RPS6KA3	69
STK11	70
PRKCI	71
MAP3K11	72
MAP2K7	73
IKBKB	74
PTK2	75
MAP3K10	76
MAP2K6	77
MAPK14	78
MAP2K3	79
MAPKAPK5	80
MAP3K12	81
MARK3	82
STK39	83
RYK	84
EPHB3	85
PLK4	86
TEC	87
TRIO	88
BMPR1A	89
MAPK8	90
PRKDC	91
ATM	45
CAMK2G	92
PKN1	93
MAP3K7	94
MAP3K2	95
MAPK12	96
MAPK13	97
CDC42BPA	98
LIMK1	99
LATS1	100
MAPK9	101
MAPK10	102
RPS6KA2	103
TRIM24	104
TRIM28	105
MKNK1	106
LIMK2	107
RPS6KA5	108
RPS6KB1	109
STRADA	45
ILK	110
BUB1B	111
MAP3K4	112
MAP3K3	113
MAP3K5	114
ERN1	115
MAPK7	116
SGK1	117
PKN2	118
OXSR1	119
PAK1	120
MAP3K14	121
MAPK11	122
NEK6	123
CAMKK1	124
PDK2	125
CHEK1	126
TLK1	127
EIF2AK3	128
RIPK1	129
CHEK2	130
SGK2	131
SGK3	132
RPS6KB2	133
PRKCH	134
PRKD1	135
CASK	136
CSNK2A2	137
MAST2	138
STK36	139
CDK9	140
TLK2	141
BRSK2	142
AKT1	143
GRK2	144
STRADB	145
PLK1	146
ACVR1	147
NEK8	148
NUAK2	149
AURKB	16
CDK4	0
STK35	150
CDK6	151
CDKL1	152
CSNK1A1	153
DAPK2	154
EIF2AK4	155
IGF1R	156
ITK	157
MYO3A	104
TSSK4	5
RAF1	158
STK3	159
STK4	46
LATS2	160
EGFR	99
FGFR1	161
FLT4	162
BRD2	163
NME1	164
NME4	165
CLK2	166
CLK3	167
KALRN	168
EPHA4	169
FGFR2	170
FGFR3	171
FYN	172
