names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	4
SRC	5
ATR	6
FLT1	7
LYN	3
PRKCD	8
SYK	4
MAP4K1	4
PDGFRB	3
PIK3CA	6
PHKG1	9
PHKG2	9
PDGFRA	4
EIF2AK2	10
ARAF	11
MAP2K1	5
RPS6KA4	10
KSR2	11
ABL1	2
ZAP70	8
PTK2B	5
MAP2K2	12
MAPK1	12
RPS6KA1	5
DYRK1B	12
PRKCA	12
MYLK	7
BMPR2	13
PRKCB	1
MAPK6	14
GSK3B	14
PDPK1	15
HK2	13
PRKCE	7
PIK3CB	5
MARK4	10
PRKCG	3
IRAK1	10
PRKCZ	5
MAP2K5	4
DAPK3	1
PKM	9
MARK2	16
BTK	12
PRKCQ	7
OBSCN	14
TTN	14
MOS	10
DDR2	5
MATK	12
TXK	3
EPHB2	2
PRKACA	6
GUCY2C	12
MAPK15	2
AMHR2	15
TGFBR1	17
ACVRL1	15
BMPR1B	17
MAP3K20	17
TGFBR2	13
CHUK	7
MAP3K8	5
MAP2K4	4
KDR	14
NTRK1	15
NTRK3	18
MAPK3	15
BRSK1	19
WEE1	8
RPS6KA3	10
STK11	19
PRKCI	12
MAP3K11	7
MAP2K7	14
IKBKB	1
PTK2	7
MAP3K10	4
MAP2K6	3
MAPK14	5
MAP2K3	12
MAPKAPK5	3
MAP3K12	9
MARK3	5
STK39	7
RYK	9
EPHB3	9
PLK4	13
TEC	3
TRIO	20
BMPR1A	13
MAPK8	5
PRKDC	1
ATM	4
CAMK2G	7
PKN1	2
MAP3K7	12
MAP3K2	4
MAPK12	2
MAPK13	2
CDC42BPA	8
LIMK1	12
LATS1	21
MAPK9	3
MAPK10	14
RPS6KA2	10
TRIM24	5
TRIM28	6
MKNK1	19
LIMK2	8
RPS6KA5	13
RPS6KB1	7
STRADA	5
ILK	11
BUB1B	2
MAP3K4	12
MAP3K3	15
MAP3K5	10
ERN1	14
MAPK7	4
SGK1	7
PKN2	2
OXSR1	15
PAK1	9
MAP3K14	10
MAPK11	12
NEK6	22
CAMKK1	7
PDK2	12
CHEK1	4
TLK1	19
EIF2AK3	1
RIPK1	14
CHEK2	8
SGK2	7
SGK3	8
RPS6KB2	7
PRKCH	10
PRKD1	7
CASK	6
CSNK2A2	13
MAST2	14
STK36	9
CDK9	9
TLK2	1
BRSK2	8
AKT1	13
GRK2	8
STRADB	10
PLK1	5
ACVR1	15
NEK8	15
NUAK2	15
AURKB	8
CDK4	12
STK35	17
CDK6	10
CDKL1	17
CSNK1A1	13
DAPK2	17
EIF2AK4	15
IGF1R	6
ITK	12
MYO3A	17
TSSK4	17
RAF1	8
STK3	10
STK4	5
LATS2	1
EGFR	5
FGFR1	13
FLT4	1
BRD2	13
NME1	7
NME4	7
CLK2	17
CLK3	17
KALRN	23
EPHA4	6
FGFR2	15
FGFR3	4
FYN	4
