names	cluster
MST1R	1
YES1	2
TYRO3	3
FGR	2
SRC	2
ATR	4
FLT1	5
LYN	2
PRKCD	2
SYK	2
MAP4K1	6
PDGFRB	2
PIK3CA	2
PHKG1	7
PHKG2	8
PDGFRA	2
EIF2AK2	9
ARAF	2
MAP2K1	2
RPS6KA4	10
KSR2	11
ABL1	2
ZAP70	2
PTK2B	2
MAP2K2	2
MAPK1	2
RPS6KA1	12
DYRK1B	13
PRKCA	2
MYLK	14
BMPR2	15
PRKCB	2
MAPK6	16
GSK3B	2
PDPK1	2
HK2	17
PRKCE	2
PIK3CB	2
MARK4	18
PRKCG	19
IRAK1	20
PRKCZ	2
MAP2K5	21
DAPK3	22
PKM	2
MARK2	23
BTK	2
PRKCQ	2
OBSCN	24
TTN	25
MOS	26
DDR2	27
MATK	28
TXK	29
EPHB2	30
PRKACA	2
GUCY2C	31
MAPK15	32
AMHR2	33
TGFBR1	34
ACVRL1	35
BMPR1B	36
MAP3K20	37
TGFBR2	38
CHUK	39
MAP3K8	40
MAP2K4	41
KDR	2
NTRK1	2
NTRK3	42
MAPK3	2
BRSK1	43
WEE1	44
RPS6KA3	45
STK11	2
PRKCI	46
MAP3K11	47
MAP2K7	48
IKBKB	49
PTK2	2
MAP3K10	50
MAP2K6	51
MAPK14	2
MAP2K3	2
MAPKAPK5	52
MAP3K12	53
MARK3	54
STK39	55
RYK	56
EPHB3	57
PLK4	58
TEC	59
TRIO	60
BMPR1A	61
MAPK8	2
PRKDC	2
ATM	62
CAMK2G	63
PKN1	64
MAP3K7	65
MAP3K2	66
MAPK12	67
MAPK13	68
CDC42BPA	69
LIMK1	70
LATS1	71
MAPK9	2
MAPK10	72
RPS6KA2	73
TRIM24	74
TRIM28	2
MKNK1	75
LIMK2	76
RPS6KA5	77
RPS6KB1	2
STRADA	78
ILK	79
BUB1B	80
MAP3K4	81
MAP3K3	82
MAP3K5	83
ERN1	84
MAPK7	2
SGK1	85
PKN2	86
OXSR1	87
PAK1	2
MAP3K14	88
MAPK11	2
NEK6	89
CAMKK1	90
PDK2	91
CHEK1	2
TLK1	92
EIF2AK3	93
RIPK1	94
CHEK2	95
SGK2	96
SGK3	97
RPS6KB2	2
PRKCH	98
PRKD1	2
CASK	99
CSNK2A2	100
MAST2	101
STK36	102
CDK9	103
TLK2	104
BRSK2	105
AKT1	2
GRK2	106
STRADB	107
PLK1	108
ACVR1	109
NEK8	110
NUAK2	111
AURKB	112
CDK4	2
STK35	113
CDK6	2
CDKL1	114
CSNK1A1	115
DAPK2	116
EIF2AK4	117
IGF1R	2
ITK	118
MYO3A	119
TSSK4	120
RAF1	2
STK3	121
STK4	122
LATS2	123
EGFR	2
FGFR1	2
FLT4	124
BRD2	125
NME1	126
NME4	127
CLK2	128
CLK3	129
KALRN	130
EPHA4	57
FGFR2	131
FGFR3	132
FYN	2
