names	cluster
MST1R	9
YES1	9
TYRO3	9
FGR	9
SRC	9
ATR	6
FLT1	9
LYN	9
PRKCD	9
SYK	9
MAP4K1	9
PDGFRB	9
PIK3CA	9
PHKG1	6
PHKG2	6
PDGFRA	6
EIF2AK2	2
ARAF	6
MAP2K1	4
RPS6KA4	3
KSR2	6
ABL1	9
ZAP70	9
PTK2B	9
MAP2K2	6
MAPK1	2
RPS6KA1	3
DYRK1B	2
PRKCA	9
MYLK	4
BMPR2	5
PRKCB	9
MAPK6	4
GSK3B	3
PDPK1	3
HK2	6
PRKCE	2
PIK3CB	9
MARK4	6
PRKCG	9
IRAK1	2
PRKCZ	9
MAP2K5	2
DAPK3	6
PKM	3
MARK2	6
BTK	9
PRKCQ	2
OBSCN	6
TTN	6
MOS	6
DDR2	6
MATK	9
TXK	9
EPHB2	9
PRKACA	6
GUCY2C	9
MAPK15	9
AMHR2	5
TGFBR1	5
ACVRL1	5
BMPR1B	5
MAP3K20	2
TGFBR2	5
CHUK	2
MAP3K8	2
MAP2K4	2
KDR	9
NTRK1	6
NTRK3	2
MAPK3	3
BRSK1	6
WEE1	6
RPS6KA3	3
STK11	6
PRKCI	9
MAP3K11	2
MAP2K7	2
IKBKB	2
PTK2	9
MAP3K10	2
MAP2K6	2
MAPK14	2
MAP2K3	2
MAPKAPK5	2
MAP3K12	2
MARK3	6
STK39	2
RYK	6
EPHB3	9
PLK4	6
TEC	9
TRIO	4
BMPR1A	5
MAPK8	2
PRKDC	6
ATM	6
CAMK2G	4
PKN1	2
MAP3K7	2
MAP3K2	2
MAPK12	2
MAPK13	2
CDC42BPA	1
LIMK1	4
LATS1	6
MAPK9	2
MAPK10	2
RPS6KA2	3
TRIM24	6
TRIM28	6
MKNK1	2
LIMK2	1
RPS6KA5	3
RPS6KB1	9
STRADA	6
ILK	6
BUB1B	6
MAP3K4	2
MAP3K3	2
MAP3K5	2
ERN1	2
MAPK7	2
SGK1	2
PKN2	2
