names	cluster
MST1R	1
YES1	1
TYRO3	1
FGR	1
SRC	1
ATR	2
FLT1	1
LYN	1
PRKCD	1
SYK	1
MAP4K1	1
PDGFRB	1
PIK3CA	1
PHKG1	2
PHKG2	2
PDGFRA	4
EIF2AK2	3
ARAF	3
MAP2K1	3
RPS6KA4	3
KSR2	3
ABL1	1
ZAP70	1
PTK2B	1
MAP2K2	3
MAPK1	3
RPS6KA1	2
DYRK1B	3
PRKCA	1
MYLK	4
BMPR2	3
PRKCB	1
MAPK6	3
GSK3B	1
PDPK1	1
HK2	2
PRKCE	1
PIK3CB	1
MARK4	2
PRKCG	1
IRAK1	3
PRKCZ	1
MAP2K5	3
DAPK3	2
PKM	4
MARK2	2
BTK	1
PRKCQ	1
OBSCN	2
TTN	2
MOS	3
DDR2	2
MATK	1
TXK	1
EPHB2	1
PRKACA	2
GUCY2C	1
MAPK15	3
AMHR2	5
TGFBR1	5
ACVRL1	5
BMPR1B	3
MAP3K20	3
TGFBR2	5
CHUK	1
MAP3K8	3
MAP2K4	3
KDR	1
NTRK1	2
NTRK3	3
MAPK3	3
BRSK1	2
WEE1	2
RPS6KA3	3
STK11	2
PRKCI	1
MAP3K11	3
MAP2K7	3
IKBKB	1
PTK2	1
MAP3K10	3
MAP2K6	3
MAPK14	3
MAP2K3	3
MAPKAPK5	3
MAP3K12	3
MARK3	3
STK39	1
RYK	3
EPHB3	1
PLK4	2
TEC	1
TRIO	1
BMPR1A	3
MAPK8	3
PRKDC	2
ATM	2
CAMK2G	4
PKN1	2
MAP3K7	3
MAP3K2	3
MAPK12	3
MAPK13	3
CDC42BPA	2
LIMK1	3
LATS1	2
MAPK9	3
MAPK10	3
RPS6KA2	3
TRIM24	3
TRIM28	2
MKNK1	1
LIMK2	2
RPS6KA5	3
RPS6KB1	1
STRADA	2
ILK	2
BUB1B	2
MAP3K4	3
MAP3K3	3
MAP3K5	3
ERN1	2
MAPK7	3
SGK1	1
PKN2	5
OXSR1	2
PAK1	3
MAP3K14	3
MAPK11	1
NEK6	5
CAMKK1	2
PDK2	1
CHEK1	2
TLK1	2
EIF2AK3	1
RIPK1	3
CHEK2	2
SGK2	4
SGK3	1
RPS6KB2	1
PRKCH	1
PRKD1	1
CASK	2
CSNK2A2	2
MAST2	2
STK36	2
CDK9	2
TLK2	2
BRSK2	2
AKT1	1
GRK2	1
STRADB	2
PLK1	2
ACVR1	5
NEK8	5
NUAK2	2
AURKB	2
CDK4	2
STK35	5
CDK6	3
CDKL1	5
CSNK1A1	2
DAPK2	4
EIF2AK4	2
IGF1R	1
ITK	1
MYO3A	5
TSSK4	5
RAF1	3
STK3	2
STK4	2
LATS2	2
EGFR	2
FGFR1	2
FLT4	1
BRD2	2
NME1	2
NME4	2
CLK2	2
CLK3	2
KALRN	3
EPHA4	1
FGFR2	3
FGFR3	3
FYN	1
MET	1
ERBB4	1
EPHA2	1
KIT	1
HCK	1
INSR	1
JAK2	1
JAK1	1
LCK	1
WNK1	2
PIK3CG	1
TYK2	1
PAK4	3
PAK2	1
FES	1
JAK3	1
RIPK2	3
PIP5K1B	2
PIP4K2B	2
PIP5K1A	2
PIP5K1C	2
PIP4K2A	2
PIP4K2C	2
ROCK1	2
TBK1	1
ACVR2A	5
EEF2K	2
DAPK1	4
SGK196	5
CDC7	2
CDK5	2
ERBB3	1
CAMK2B	4
CAMK2D	4
WNK4	1
CSK	1
KSR1	2
PIK3C2A	2
ERBB2	1
NEK11	2
NEK2	2
PDK1	1
CAMK2A	4
CSF1R	1
EPHA8	1
ABL2	1
MERTK	1
TNK2	1
GSK3A	1
FER	1
HIPK3	2
AKT2	1
PAK3	1
PRKAA1	2
DMPK	3
PBK	2
IKBKE	2
ROCK2	2
LRRK1	2
STK24	2
STK25	2
PASK	2
STK16	2
TTBK1	2
TTBK2	2
NEK7	2
SNRK	2
CSNK2A1	2
LMTK2	2
CDK2	2
MAP3K1	3
PIK3CD	1
PAK6	3
PI4KA	2
ACVR1B	5
EPHA3	1
BRD4	2
TAOK3	2
CDKL5	4
PFKL	2
MYLK2	3
TRIB3	3
AATK	1
EPHB4	1
BMX	1
PIM1	4
KHK	2
PDXK	2
MELK	2
SLK	2
ROR1	2
VRK1	2
VRK3	3
PI4K2B	2
PGK1	2
STK26	2
BRAF	3
PRKD2	2
BLK	1
CSNK1D	2
CSNK1E	2
CDK7	2
PTK6	1
SIK3	2
EPHB1	1
ALK	3
GAK	2
EPHA1	1
CDC42BPB	3
TAOK1	2
CAMKK2	2
MAP4K5	3
MAST1	2
PRKAA2	2
ULK1	2
BUB1	2
HIPK2	3
DYRK1A	2
SRPK1	4
SRPK2	2
NUAK1	2
TESK1	3
RIOK3	2
IRAK3	3
SIK2	2
CDK1	2
PRKG1	3
SIK1	2
MTOR	2
STK38	2
TTK	2
NRBP1	1
RPS6KA6	3
PIM2	4
MOK	3
AURKA	2
DYRK2	2
CDK13	2
CKM	1
CDK20	2
MAK	2
CDK19	2
CDK8	2
IRAK4	3
MLKL	4
RIPK3	4
PRKACB	2
LRRK2	2
RIOK1	2
PINK1	2
HK1	2
ICK	2
GRK5	4
BMP2K	2
MAP4K4	3
HASPIN	2
TEK	1
MAPK4	3
PFKP	2
NME2	2
HIPK4	3
DYRK4	3
FRK	3
DCLK3	2
PRKACG	2
CDKL3	4
NLK	3
MKNK2	3
AURKC	2
CDK16	2
CDK3	2
SRPK3	4
