names	cluster
MST1R	3
YES1	3
TYRO3	3
FGR	3
SRC	3
ATR	1
FLT1	4
LYN	3
PRKCD	3
SYK	3
MAP4K1	2
PDGFRB	3
PIK3CA	3
PHKG1	4
PHKG2	4
PDGFRA	3
EIF2AK2	2
ARAF	3
MAP2K1	3
RPS6KA4	1
KSR2	4
ABL1	1
ZAP70	3
PTK2B	3
MAP2K2	3
MAPK1	3
RPS6KA1	1
DYRK1B	2
PRKCA	3
MYLK	6
BMPR2	7
PRKCB	3
MAPK6	2
GSK3B	3
PDPK1	3
HK2	4
PRKCE	3
PIK3CB	3
MARK4	1
PRKCG	3
IRAK1	2
PRKCZ	3
MAP2K5	2
DAPK3	4
PKM	4
MARK2	4
BTK	3
PRKCQ	3
OBSCN	1
TTN	1
MOS	4
DDR2	4
MATK	3
TXK	3
EPHB2	5
PRKACA	4
GUCY2C	3
MAPK15	2
AMHR2	7
TGFBR1	2
ACVRL1	7
BMPR1B	7
MAP3K20	2
TGFBR2	7
CHUK	2
MAP3K8	2
MAP2K4	2
KDR	4
NTRK1	4
NTRK3	4
MAPK3	3
BRSK1	4
WEE1	1
RPS6KA3	1
STK11	4
PRKCI	3
MAP3K11	2
MAP2K7	2
IKBKB	2
PTK2	4
MAP3K10	2
MAP2K6	2
MAPK14	2
MAP2K3	2
MAPKAPK5	2
MAP3K12	2
MARK3	4
STK39	4
RYK	5
EPHB3	5
PLK4	1
TEC	3
TRIO	4
BMPR1A	7
MAPK8	3
PRKDC	1
ATM	1
CAMK2G	6
PKN1	2
MAP3K7	2
MAP3K2	2
MAPK12	2
MAPK13	2
CDC42BPA	4
LIMK1	2
LATS1	1
MAPK9	3
MAPK10	3
RPS6KA2	1
TRIM24	4
TRIM28	4
MKNK1	2
LIMK2	4
RPS6KA5	1
RPS6KB1	3
STRADA	4
ILK	3
BUB1B	1
MAP3K4	2
MAP3K3	2
MAP3K5	2
ERN1	2
MAPK7	2
SGK1	3
PKN2	7
OXSR1	7
PAK1	2
MAP3K14	2
MAPK11	2
NEK6	4
CAMKK1	4
PDK2	3
CHEK1	1
TLK1	1
EIF2AK3	2
RIPK1	2
CHEK2	1
SGK2	3
SGK3	3
RPS6KB2	3
PRKCH	3
PRKD1	4
CASK	4
CSNK2A2	1
MAST2	1
STK36	1
CDK9	1
TLK2	4
BRSK2	4
AKT1	3
GRK2	10
STRADB	4
PLK1	1
ACVR1	7
NEK8	4
NUAK2	4
AURKB	1
CDK4	3
STK35	7
CDK6	1
CDKL1	2
CSNK1A1	4
DAPK2	6
EIF2AK4	4
IGF1R	3
ITK	3
MYO3A	2
TSSK4	2
RAF1	3
STK3	1
STK4	1
LATS2	1
EGFR	3
FGFR1	1
FLT4	4
BRD2	1
NME1	4
NME4	4
CLK2	1
CLK3	1
KALRN	2
EPHA4	5
FGFR2	3
FGFR3	3
FYN	3
MET	3
ERBB4	3
EPHA2	5
KIT	3
HCK	3
INSR	3
JAK2	3
JAK1	3
LCK	3
WNK1	4
PIK3CG	3
TYK2	3
PAK4	2
PAK2	2
FES	2
JAK3	3
RIPK2	2
PIP5K1B	4
PIP4K2B	4
PIP5K1A	4
PIP5K1C	3
PIP4K2A	4
PIP4K2C	4
ROCK1	4
TBK1	2
ACVR2A	7
EEF2K	4
DAPK1	5
SGK196	7
CDC7	1
CDK5	4
ERBB3	3
CAMK2B	6
CAMK2D	6
WNK4	2
CSK	4
KSR1	4
PIK3C2A	4
ERBB2	3
NEK11	1
NEK2	1
PDK1	3
CAMK2A	6
CSF1R	3
EPHA8	5
ABL2	3
MERTK	4
TNK2	4
GSK3A	3
FER	3
HIPK3	4
AKT2	3
PAK3	2
PRKAA1	4
DMPK	3
PBK	1
IKBKE	2
ROCK2	4
LRRK1	5
STK24	4
STK25	4
PASK	4
STK16	4
TTBK1	1
TTBK2	1
NEK7	4
SNRK	4
CSNK2A1	1
LMTK2	4
CDK2	1
MAP3K1	2
PIK3CD	3
PAK6	2
PI4KA	4
ACVR1B	7
EPHA3	5
BRD4	1
TAOK3	2
CDKL5	6
PFKL	4
MYLK2	2
TRIB3	3
AATK	4
EPHB4	5
BMX	3
PIM1	5
KHK	4
PDXK	1
MELK	4
SLK	1
ROR1	5
VRK1	1
VRK3	1
PI4K2B	4
PGK1	4
STK26	4
BRAF	3
PRKD2	4
BLK	5
CSNK1D	1
CSNK1E	1
CDK7	1
PTK6	3
SIK3	4
EPHB1	5
ALK	5
GAK	4
EPHA1	5
CDC42BPB	4
TAOK1	1
CAMKK2	4
MAP4K5	2
MAST1	3
PRKAA2	4
