names	super	sub	color	size	opacity
MST1R	2	9	purple	9	0
YES1	2	9	purple	9	0
TYRO3	2	9	purple	9	0
FGR	2	10	purple	9	0
SRC	2	9	purple	9	0
ATR	6	3	purple	9	0
FLT1	2	10	purple	9	0
LYN	2	10	purple	9	0
PRKCD	4	2	purple	9	0
SYK	2	10	purple	9	0
MAP4K1	5	14	purple	9	0
PDGFRB	2	1	purple	9	0
PIK3CA	2	10	purple	9	0
PHKG1	6	16	purple	9	0
PHKG2	6	12	purple	9	0
PDGFRA	2	1	purple	9	0
EIF2AK2	5	14	purple	9	0
ARAF	4	2	purple	9	0
MAP2K1	2	10	purple	9	0
RPS6KA4	4	13	purple	9	0
KSR2	2	7	purple	9	0
ABL1	6	3	purple	9	0
ZAP70	2	10	purple	9	0
PTK2B	2	10	purple	9	0
MAP2K2	2	10	purple	9	0
MAPK1	4	2	purple	9	0
RPS6KA1	4	13	purple	9	0
DYRK1B	5	4	purple	9	0
PRKCA	4	2	purple	9	0
MYLK	4	6	purple	9	0
BMPR2	7	5	purple	9	0
PRKCB	4	2	purple	9	0
MAPK6	5	4	purple	9	0
GSK3B	4	2	purple	9	0
PDPK1	2	10	purple	9	0
HK2	1	15	purple	9	0
PRKCE	4	2	purple	9	0
PIK3CB	2	10	purple	9	0
MARK4	6	3	purple	9	0
PRKCG	4	2	purple	9	0
IRAK1	5	14	purple	9	0
PRKCZ	2	10	purple	9	0
MAP2K5	4	2	purple	9	0
DAPK3	2	9	purple	9	0
PKM	6	17	purple	9	0
MARK2	6	12	purple	9	0
BTK	2	10	purple	9	0
PRKCQ	5	14	purple	9	0
OBSCN	6	3	purple	9	0
TTN	6	3	purple	9	0
MOS	2	10	purple	9	0
DDR2	2	1	purple	9	0
MATK	2	10	purple	9	0
TXK	2	10	purple	9	0
EPHB2	8	8	purple	9	0
PRKACA	6	16	purple	9	0
GUCY2C	2	9	purple	9	0
MAPK15	5	4	purple	9	0
AMHR2	7	5	purple	9	0
TGFBR1	7	5	purple	9	0
ACVRL1	7	5	purple	9	0
BMPR1B	7	5	purple	9	0
MAP3K20	5	14	purple	9	0
TGFBR2	7	5	purple	9	0
CHUK	5	14	purple	9	0
MAP3K8	5	14	purple	9	0
MAP2K4	5	14	purple	9	0
KDR	2	9	purple	9	0
NTRK1	2	1	purple	9	0
NTRK3	2	1	purple	9	0
MAPK3	4	2	purple	9	0
BRSK1	6	12	purple	9	0
WEE1	6	3	purple	9	0
RPS6KA3	4	13	purple	9	0
STK11	6	12	purple	9	0
PRKCI	2	10	purple	9	0
MAP3K11	5	14	purple	9	0
MAP2K7	5	14	purple	9	0
IKBKB	5	14	purple	9	0
PTK2	2	9	purple	9	0
MAP3K10	5	4	purple	9	0
MAP2K6	5	4	purple	9	0
MAPK14	5	4	purple	9	0
MAP2K3	5	4	purple	9	0
MAPKAPK5	5	4	purple	9	0
MAP3K12	5	4	purple	9	0
MARK3	2	7	purple	9	0
STK39	7	11	purple	9	0
RYK	8	8	purple	9	0
EPHB3	8	8	purple	9	0
PLK4	6	3	purple	9	0
TEC	2	10	purple	9	0
TRIO	2	9	purple	9	0
BMPR1A	7	5	purple	9	0
MAPK8	5	14	purple	9	0
PRKDC	6	3	purple	9	0
ATM	6	3	purple	9	0
CAMK2G	4	6	purple	9	0
PKN1	5	4	purple	9	0
MAP3K7	5	14	purple	9	0
MAP3K2	5	14	purple	9	0
MAPK12	5	4	purple	9	0
MAPK13	5	4	purple	9	0
CDC42BPA	2	1	purple	9	0
LIMK1	5	4	purple	9	0
LATS1	6	3	purple	9	0
MAPK9	5	14	purple	9	0
MAPK10	5	14	purple	9	0
RPS6KA2	4	13	purple	9	0
TRIM24	2	7	purple	9	0
TRIM28	6	12	purple	9	0
MKNK1	4	2	purple	9	0
LIMK2	2	9	purple	9	0
RPS6KA5	4	13	purple	9	0
RPS6KB1	4	2	purple	9	0
STRADA	6	12	purple	9	0
ILK	4	2	purple	9	0
BUB1B	6	3	purple	9	0
MAP3K4	5	4	purple	9	0
MAP3K3	5	14	purple	9	0
MAP3K5	5	14	purple	9	0
ERN1	5	14	purple	9	0
MAPK7	4	2	purple	9	0
SGK1	4	2	purple	9	0
PKN2	2	10	purple	9	0
OXSR1	7	5	purple	9	0
PAK1	5	4	purple	9	0
MAP3K14	5	14	purple	9	0
MAPK11	5	4	purple	9	0
NEK6	6	3	purple	9	0
CAMKK1	6	16	purple	9	0
PDK2	4	2	purple	9	0
CHEK1	6	3	purple	9	0
TLK1	6	3	purple	9	0
EIF2AK3	5	14	purple	9	0
RIPK1	5	14	purple	9	0
CHEK2	6	3	purple	9	0
SGK2	4	2	purple	9	0
SGK3	4	2	purple	9	0
RPS6KB2	4	2	purple	9	0
PRKCH	4	2	purple	9	0
PRKD1	4	18	purple	9	0
CASK	6	3	purple	9	0
CSNK2A2	6	3	purple	9	0
MAST2	6	3	purple	9	0
STK36	6	3	purple	9	0
CDK9	6	3	purple	9	0
TLK2	6	3	purple	9	0
BRSK2	6	12	purple	9	0
AKT1	4	2	purple	9	0
GRK2	1	22	purple	9	0
STRADB	6	12	purple	9	0
PLK1	6	3	purple	9	0
ACVR1	7	5	purple	9	0
NEK8	6	3	purple	9	0
NUAK2	6	12	purple	9	0
AURKB	6	3	purple	9	0
CDK4	6	3	purple	9	0
STK35	7	5	purple	9	0
CDK6	6	3	purple	9	0
CDKL1	7	21	purple	9	0
CSNK1A1	6	3	purple	9	0
DAPK2	4	6	purple	9	0
EIF2AK4	4	2	purple	9	0
IGF1R	4	2	purple	9	0
ITK	2	10	purple	9	0
MYO3A	7	5	purple	9	0
TSSK4	7	5	purple	9	0
RAF1	4	2	purple	9	0
STK3	6	3	purple	9	0
STK4	6	3	purple	9	0
LATS2	6	3	purple	9	0
EGFR	2	1	purple	9	0
FGFR1	2	1	purple	9	0
FLT4	2	10	purple	9	0
BRD2	6	3	purple	9	0
NME1	6	25	purple	9	0
NME4	6	25	purple	9	0
CLK2	6	3	purple	9	0
CLK3	6	3	purple	9	0
KALRN	5	4	purple	9	0
EPHA4	8	8	purple	9	0
FGFR2	4	2	purple	9	0
FGFR3	4	2	purple	9	0
FYN	2	10	purple	9	0
MET	2	9	purple	9	0
ERBB4	2	10	purple	9	0
EPHA2	8	8	purple	9	0
KIT	2	10	purple	9	0
HCK	2	10	purple	9	0
INSR	4	2	purple	9	0
JAK2	2	10	purple	9	0
JAK1	2	10	purple	9	0
LCK	2	10	purple	9	0
WNK1	7	11	purple	9	0
PIK3CG	2	10	purple	9	0
TYK2	2	10	purple	9	0
PAK4	5	4	purple	9	0
PAK2	5	4	purple	9	0
FES	5	4	purple	9	0
JAK3	2	10	purple	9	0
RIPK2	5	4	purple	9	0
PIP5K1B	2	10	purple	9	0
PIP4K2B	2	10	purple	9	0
PIP5K1A	2	10	purple	9	0
PIP5K1C	2	10	purple	9	0
PIP4K2A	2	10	purple	9	0
PIP4K2C	2	10	purple	9	0
ROCK1	2	9	purple	9	0
TBK1	5	14	purple	9	0
ACVR2A	7	5	purple	9	0
EEF2K	6	12	purple	9	0
DAPK1	4	2	purple	9	0
SGK196	7	5	purple	9	0
CDC7	6	3	purple	9	0
CDK5	6	3	purple	9	0
ERBB3	2	10	purple	9	0
CAMK2B	4	6	purple	9	0
CAMK2D	4	6	purple	9	0
WNK4	5	4	purple	9	0
CSK	2	7	purple	9	0
KSR1	2	7	purple	9	0
PIK3C2A	2	10	purple	9	0
ERBB2	2	9	purple	9	0
NEK11	6	3	purple	9	0
NEK2	6	3	purple	9	0
PDK1	2	10	purple	9	0
CAMK2A	4	6	purple	9	0
CSF1R	2	10	purple	9	0
EPHA8	8	8	purple	9	0
ABL2	2	10	purple	9	0
MERTK	6	17	purple	9	0
TNK2	2	1	purple	9	0
GSK3A	4	2	purple	9	0
FER	2	9	purple	9	0
HIPK3	2	9	purple	9	0
AKT2	2	10	purple	9	0
PAK3	5	4	purple	9	0
PRKAA1	6	12	purple	9	0
DMPK	4	2	purple	9	0
PBK	4	2	purple	9	0
IKBKE	5	14	purple	9	0
ROCK2	2	9	purple	9	0
LRRK1	6	3	purple	9	0
STK24	6	12	purple	9	0
STK25	6	12	purple	9	0
PASK	6	12	purple	9	0
STK16	6	12	purple	9	0
TTBK1	6	3	purple	9	0
TTBK2	6	3	purple	9	0
NEK7	6	3	purple	9	0
SNRK	6	12	purple	9	0
CSNK2A1	6	3	purple	9	0
LMTK2	6	3	purple	9	0
